"Date","Price","Open","High","Low","Vol.","Change %"
"01/01/2004","0.5482","0.5605","0.5622","0.5382","","-2.11%"
"02/01/2004","0.5353","0.5484","0.5514","0.5223","","-2.35%"
"03/01/2004","0.5417","0.5351","0.5585","0.5332","","1.20%"
"04/01/2004","0.5620","0.5418","0.5690","0.5373","","3.75%"
"05/01/2004","0.5458","0.5620","0.5721","0.5441","","-2.88%"
"06/01/2004","0.5496","0.5456","0.5552","0.5407","","0.70%"
"07/01/2004","0.5494","0.5495","0.5529","0.5328","","-0.04%"
"08/01/2004","0.5548","0.5487","0.5601","0.5409","","0.98%"
"09/01/2004","0.5519","0.5548","0.5647","0.5505","","-0.52%"
"10/01/2004","0.5440","0.5518","0.5636","0.5419","","-1.43%"
"11/01/2004","0.5233","0.5437","0.5465","0.5225","","-3.81%"
"12/01/2004","0.5212","0.5236","0.5259","0.5113","","-0.40%"
"01/01/2005","0.5310","0.5208","0.5398","0.5207","","1.88%"
"02/01/2005","0.5202","0.5310","0.5403","0.5190","","-2.03%"
"03/01/2005","0.5291","0.5204","0.5379","0.5172","","1.71%"
"04/01/2005","0.5240","0.5290","0.5357","0.5202","","-0.96%"
"05/01/2005","0.5502","0.5244","0.5524","0.5241","","5.00%"
"06/01/2005","0.5583","0.5502","0.5595","0.5432","","1.47%"
"07/01/2005","0.5692","0.5583","0.5792","0.5580","","1.95%"
"08/01/2005","0.5544","0.5692","0.5714","0.5499","","-2.60%"
"09/01/2005","0.5669","0.5544","0.5693","0.5405","","2.25%"
"10/01/2005","0.5649","0.5675","0.5752","0.5583","","-0.35%"
"11/01/2005","0.5782","0.5649","0.5866","0.5618","","2.35%"
"12/01/2005","0.5809","0.5782","0.5840","0.5612","","0.47%"
"01/01/2006","0.5622","0.5809","0.5817","0.5574","","-3.22%"
"02/01/2006","0.5702","0.5621","0.5787","0.5611","","1.42%"
"03/01/2006","0.5753","0.5702","0.5804","0.5673","","0.89%"
"04/01/2006","0.5475","0.5756","0.5796","0.5473","","-4.83%"
"05/01/2006","0.5347","0.5482","0.5493","0.5255","","-2.34%"
"06/01/2006","0.5412","0.5344","0.5528","0.5296","","1.22%"
"07/01/2006","0.5354","0.5412","0.5502","0.5350","","-1.07%"
"08/01/2006","0.5251","0.5353","0.5369","0.5222","","-1.92%"
"09/01/2006","0.5342","0.5250","0.5375","0.5240","","1.73%"
"10/01/2006","0.5242","0.5333","0.5401","0.5235","","-1.87%"
"11/01/2006","0.5088","0.5243","0.5310","0.5076","","-2.94%"
"12/01/2006","0.5106","0.5085","0.5146","0.5038","","0.35%"
"01/01/2007","0.5091","0.5104","0.5192","0.5020","","-0.29%"
"02/01/2007","0.5091","0.5089","0.5154","0.5063","","0.00%"
"03/01/2007","0.5081","0.5092","0.5212","0.5069","","-0.20%"
"04/01/2007","0.5002","0.5077","0.5104","0.4966","","-1.55%"
"05/01/2007","0.5050","0.5000","0.5082","0.4981","","0.96%"
"06/01/2007","0.4975","0.5049","0.5097","0.4975","","-1.49%"
"07/01/2007","0.4929","0.4978","0.4986","0.4841","","-0.92%"
"08/01/2007","0.4961","0.4926","0.5089","0.4886","","0.65%"
"09/01/2007","0.4885","0.4957","0.5030","0.4880","","-1.53%"
"10/01/2007","0.4804","0.4884","0.4940","0.4802","","-1.66%"
"11/01/2007","0.4863","0.4805","0.4914","0.4725","","1.23%"
"12/01/2007","0.5039","0.4866","0.5077","0.4835","","3.62%"
"01/01/2008","0.5030","0.5033","0.5171","0.5010","","-0.18%"
"02/01/2008","0.5033","0.5031","0.5167","0.5007","","0.06%"
"03/01/2008","0.5042","0.5027","0.5071","0.4902","","0.18%"
"04/01/2008","0.5033","0.5042","0.5102","0.4988","","-0.18%"
"05/01/2008","0.5044","0.5031","0.5163","0.5022","","0.22%"
"06/01/2008","0.5018","0.5058","0.5152","0.5007","","-0.52%"
"07/01/2008","0.5041","0.5016","0.5090","0.4961","","0.46%"
"08/01/2008","0.5491","0.5041","0.5503","0.5039","","8.93%"
"09/01/2008","0.5609","0.5517","0.5732","0.5355","","2.15%"
"10/01/2008","0.6223","0.5606","0.6550","0.5594","","10.95%"
"11/01/2008","0.6499","0.6218","0.6870","0.6097","","4.44%"
"12/01/2008","0.6843","0.6508","0.6966","0.6360","","5.29%"
"01/01/2009","0.6889","0.6842","0.7407","0.6505","","0.67%"
"02/01/2009","0.6988","0.6910","0.7116","0.6673","","1.44%"
"03/01/2009","0.6982","0.6997","0.7323","0.6766","","-0.09%"
"04/01/2009","0.6765","0.6977","0.7006","0.6636","","-3.11%"
"05/01/2009","0.6179","0.6764","0.6777","0.6173","","-8.66%"
"06/01/2009","0.6071","0.6182","0.6329","0.5971","","-1.75%"
"07/01/2009","0.5981","0.6073","0.6257","0.5977","","-1.48%"
"08/01/2009","0.6141","0.5982","0.6190","0.5867","","2.68%"
"09/01/2009","0.6248","0.6143","0.6341","0.5972","","1.74%"
